object,ch,prop,frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,12,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,12.0,,,,,17.0,18.0,19.0,20.0,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,13,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,17.0,,19.0,,21.0,22.0,23.0,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,14,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,17.0,,19.0,,21.0,22.0,23.0,24.0,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,15,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,17.0,,19.0,,21.0,22.0,,,25.0,26.0,27.0,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,16,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,,,19.0,,21.0,22.0,,,25.0,26.0,27.0,28.0,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,17,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,,,19.0,,21.0,22.0,,,25.0,26.0,27.0,28.0,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,18,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,,,19.0,,21.0,22.0,,,,26.0,,28.0,29.0,30.0,
nuc,/home/data/HeLa/Set0_2/processed/*,cell_id,19,,,3.0,4.0,,,7.0,,9.0,10.0,11.0,,,,,,,,19.0,,21.0,22.0,,,,26.0,,,29.0,30.0,31.0
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,0,638.0,266.0,656.0,474.0,256.0,327.0,529.0,330.0,400.0,596.0,581.0,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,1,610.0,283.0,6536.0,555.0,276.0,313.0,522.0,3943.0,4377.0,661.0,740.0,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,2,648.0,,5356.0,503.0,,,632.0,,515.0,582.0,753.0,572.0,334.0,291.0,284.0,584.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,3,699.0,,7484.0,462.0,,,649.0,,520.0,491.0,672.0,436.0,319.0,299.0,365.0,672.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,4,618.0,,710.0,558.0,,,780.0,,490.0,494.0,746.0,523.0,342.0,336.0,399.0,682.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,5,715.0,,589.0,574.0,,,789.0,,597.0,543.0,728.0,550.0,358.0,334.0,377.0,768.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,6,759.0,,7468.0,573.0,,,655.0,,651.0,506.0,812.0,574.0,377.0,308.0,400.0,682.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,7,848.0,,778.0,588.0,,,653.0,,605.0,520.0,788.0,548.0,328.0,353.0,461.0,659.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,8,760.0,,8569.0,503.0,,,637.0,,559.0,472.0,778.0,544.0,432.0,314.0,455.0,748.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,9,780.0,,6031.0,597.0,,,644.0,,672.0,531.0,736.0,660.0,426.0,366.0,558.0,652.0,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,10,808.0,,8726.0,571.0,,,676.0,,588.0,476.0,745.0,471.0,,,524.0,,446.0,400.0,794.0,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,11,780.0,,714.0,678.0,,,726.0,,633.0,495.0,679.0,547.0,,,463.0,,593.0,459.0,788.0,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,12,,,610.0,583.0,,,543.0,,491.0,4566.0,719.0,319.0,,,,,317.0,280.0,5852.0,288.0,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,13,,,7837.0,450.0,,,542.0,,4136.0,5306.0,637.0,,,,,,307.0,,6284.0,,356.0,250.0,321.0,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,14,,,703.0,538.0,,,601.0,,460.0,5937.0,713.0,,,,,,303.0,,481.0,,338.0,140.0,355.0,107.0,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,15,,,5996.0,527.0,,,613.0,,438.0,6797.0,710.0,,,,,,256.0,,518.0,,283.0,167.0,,,256.0,260.0,156.0,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,16,,,7844.0,566.0,,,554.0,,490.0,623.0,688.0,,,,,,,,496.0,,299.0,163.0,,,277.0,232.0,179.0,342.0,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,17,,,7344.0,520.0,,,634.0,,528.0,3620.0,721.0,,,,,,,,578.0,,299.0,187.0,,,313.0,275.0,167.0,306.0,,,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,18,,,5639.0,524.0,,,616.0,,552.0,5195.0,677.0,,,,,,,,661.0,,357.0,204.0,,,,374.0,,308.0,423.0,227.0,
nuc,/home/data/HeLa/Set0_2/processed/*,convex_area,19,,,554.0,590.0,,,575.0,,570.0,5728.0,709.0,,,,,,,,698.0,,289.0,182.0,,,,247.0,,,410.0,298.0,444.0
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,0,0.357523351908,0.122051887214,0.154354691505,0.201782375574,0.198994621634,0.159513995051,0.162420347333,0.102946177125,0.118275001645,0.0637255385518,0.0701260343194,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,1,0.319189935923,0.0761026218534,0.152323365211,0.208821699023,0.14677156508,0.159010380507,0.164355039597,0.0997666940093,0.115133687854,0.0648768395185,0.0652969554067,,,,,,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,2,0.157820671797,,0.134729355574,0.172796562314,,,0.151962667704,,0.0939832925797,0.0709139034152,0.0658920481801,0.333087384701,0.415292650461,0.116653628647,0.140536010265,0.0892091244459,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,3,0.155297070742,,0.161938816309,0.162752866745,,,0.162829071283,,0.10993372649,0.0635124742985,0.0673975050449,0.288636803627,0.329683065414,0.117191955447,0.146754771471,0.0996716171503,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,4,0.151351079345,,0.139126166701,0.173562809825,,,0.166204720736,,0.0905051678419,0.0665668100119,0.0600995309651,0.309530049562,0.32461091876,0.110785983503,0.132032305002,0.0956052988768,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,5,0.164342045784,,0.128559038043,0.174978584051,,,0.189702048898,,0.111768953502,0.0684889703989,0.0679776072502,0.32335460186,0.384361535311,0.139451175928,0.12177605927,0.109285719693,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,6,0.17373265326,,0.142086386681,0.173537060618,,,0.175962865353,,0.106479391456,0.0714759901166,0.0722496956587,0.323479443789,0.380146950483,0.142939627171,0.129854887724,0.100354604423,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,7,0.187393993139,,0.144478812814,0.174312338233,,,0.164211198688,,0.110535293818,0.065832734108,0.0681396052241,0.31083253026,0.361474514008,0.137870982289,0.132502987981,0.111132584512,,,,,,,,,,,,,,,
nuc,/home/data/HeLa/Set0_2/processed/*,cv_intensity,8,0.163014233112,,0.14836551249,0.172170341015,,,0.156970977783,,0.0971497967839,0.063634082675,0.0652230083942,0.303792089224,0.408991962671,0.141912445426,0.115414038301,0.0995398759842,,,,,,,,,,,,,,,
